DateTime,Rain_15min,Rain_Intensity_mmph,Rain_Cumulative
2015-06-23 07:15,0,0,0
2015-06-23 07:30,0.2,0.8,0.2
2015-06-23 07:45,1.2,1.8,0.2
2015-06-23 08:00,2.2,2.8,0.2
2015-06-23 08:15,3.2,3.8,0.2
2015-06-23 08:30,4.2,4.8,0.2
2015-06-23 08:45,5.2,5.8,0.2
2015-06-23 09:00,6.2,6.8,0.2
2015-06-23 09:15,7.2,7.8,0.2
2015-06-23 09:30,8.2,8.8,0.2
2015-06-23 09:45,9.2,9.8,0.2
2015-06-23 10:00,10.2,10.8,0.2
2015-06-23 10:15,11.2,11.8,0.2
2015-06-23 10:30,12.2,12.8,0.2
2015-06-23 10:45,13.2,13.8,0.2
2015-06-23 11:00,14.2,14.8,0.2
2015-06-23 11:15,15.2,15.8,0.2
2015-06-23 11:30,16.2,16.8,0.2
2015-06-23 11:45,17.2,17.8,0.2
2015-06-23 12:00,18.2,18.8,0.2
2015-06-23 12:15,19.2,19.8,0.2
2015-06-23 12:30,20.2,20.8,0.2
2015-06-23 12:45,21.2,21.8,0.2
2015-06-23 13:00,22.2,22.8,0.2
2015-06-23 13:15,23.2,23.8,0.2
2015-06-23 13:30,24.2,24.8,0.2
2015-06-23 13:45,25.2,25.8,0.2
2015-06-23 14:00,26.2,26.8,0.2
2015-06-23 14:15,27.2,27.8,0.2
2015-06-23 14:30,28.2,28.8,0.2
2015-06-23 14:45,29.2,29.8,0.2
2015-06-23 15:00,30.2,30.8,0.2
2015-06-23 15:15,31.2,31.8,0.2
2015-06-23 15:30,32.2,32.8,0.2
2015-06-23 15:45,33.2,33.8,0.2
2015-06-23 16:00,34.2,34.8,0.2
2015-06-23 16:15,35.2,35.8,0.2
2015-06-23 16:30,36.2,36.8,0.2
2015-06-23 16:45,0,37.8,0.2
2015-06-23 17:00,0,38.8,0.2
2015-06-23 17:15,0,39.8,0.2
2015-06-23 17:30,0,40.8,0.2
2015-06-23 17:45,0,41.8,0.2
2015-06-23 18:00,0,42.8,0.2
2015-06-23 18:15,0,43.8,0.2
2015-06-23 18:30,0,44.8,0.2
2015-06-23 18:45,0,45.8,0.2
2015-06-23 19:00,0,46.8,0.2
2015-06-23 19:15,0,47.8,0.2
2015-06-23 19:30,0,48.8,0.2
2015-06-23 19:45,0,49.8,0.2
2015-06-23 20:00,0,50.8,0.2
2015-06-23 20:15,0,51.8,0.2
2015-06-23 20:30,0,52.8,0.2
2015-06-23 20:45,0,53.8,0.2
2015-06-23 21:00,0,54.8,0.2
2015-06-23 21:15,0,55.8,0.2
2015-06-23 21:30,0,56.8,0.2
2015-06-23 21:45,0,57.8,0.2
2015-06-23 22:00,0,58.8,0.2
2015-06-23 22:15,0,59.8,0.2
2015-06-23 22:30,0,60.8,0.2
2015-06-23 22:45,0,61.8,0.2
2015-06-23 23:00,0,62.8,0.2
2015-06-23 23:15,0,63.8,0.2
2015-06-23 23:30,0,64.8,0.2
2015-06-23 23:45,0,65.8,0.2
2015-06-24 00:00,0,66.8,0.2
2015-06-24 00:15,0,67.8,0.2
2015-06-24 00:30,0,68.8,0.2
2015-06-24 00:45,0,69.8,0.2
2015-06-24 01:00,0,70.8,0.2
2015-06-24 01:15,0,71.8,0.2
